Date, ATM, Wallets, BTC, ETH
01/07/2015,0.42 K,3.87 M,4.64 M,0.01 M
01/08/2015,0.44 K,4.11 M,4.90 M,0.02 M
01/09/2015,0.45 K,4.33 M,5.30 M,0.02 M
01/10/2015,0.46 K,4.62 M,5.41 M,0.03 M
01/11/2015,0.45 K,4.95 M,5.71 M,0.04 M
01/12/2015,0.46 K,5.34 M,6.36 M,0.04 M
01/01/2016,0.50 K,5.78 M,6.54 M,0.05 M
01/02/2016,0.54 K,6.13 M,6.98 M,0.08 M
01/03/2016,0.55 K,6.53 M,6.95 M,0.14 M
01/04/2016,0.58 K,6.91 M,7.46 M,0.18 M
01/05/2016,0.62 K,7.31 M,7.90 M,0.27 M
01/06/2016,0.64 K,7.68 M,8.46 M,0.40 M
01/07/2016,0.68 K,8.02 M,8.94 M,0.50 M
01/08/2016,0.70 K,8.36 M,9.48 M,0.57 M
01/09/2016,0.76 K,8.77 M,10.15 M,0.63 M
01/10/2016,0.80 K,9.26 M,10.69 M,0.78 M
01/11/2016,0.85 K,9.92 M,11.71 M,0.86 M
01/12/2016,0.91 K,10.69 M,12.52 M,0.95 M
01/01/2017,0.97 K,11.68 M,13.09 M,1.03 M
01/02/2017,0.99 K,12.01 M,13.77 M,1.10 M
01/03/2017,1.07 K,12.64 M,14.59 M,1.37 M
01/04/2017,1.13 K,13.16 M,15.54 M,1.65 M
01/05/2017,1.19 K,14.19 M,17.03 M,2.41 M
01/06/2017,1.27 K,14.86 M,17.62 M,3.84 M
01/07/2017,1.37 K,15.20 M,17.57 M,5.02 M
01/08/2017,1.45 K,16.46 M,18.53 M,6.78 M
01/09/2017,1.57 K,17.26 M,19.28 M,8.41 M
01/10/2017,1.65 K,18.06 M,20.57 M,10.10 M
01/11/2017,1.81 K,19.34 M,22.64 M,12.67 M
01/12/2017,1.95 K,21.51 M,26.20 M,18.46 M
01/01/2018,2.07 K,22.65 M,26.49 M,25.80 M
01/02/2018,2.23 K,23.36 M,23.59 M,29.24 M
01/03/2018,2.47 K,23.93 M,20.94 M,31.90 M
01/04/2018,2.72 K,24.36 M,21.36 M,34.77 M
01/05/2018,2.96 K,24.99 M,21.64 M,37.70 M
01/06/2018,3.19 K,25.65 M,21.87 M,40.21 M
01/07/2018,3.41 K,26.82 M,21.06 M,42.31 M
01/08/2018,3.46 K,28.09 M,21.28 M,44.26 M
01/09/2018,3.63 K,28.87 M,21.63 M,45.86 M
01/10/2018,3.78 K,29.76 M,21.92 M,48.25 M
01/11/2018,3.91 K,31.13 M,22.02 M,51.07 M
01/12/2018,4.03 K,31.91 M,21.68 M,54.28 M
01/01/2019,4.11 K,32.82 M,22.12 M,56.29 M
01/02/2019,4.28 K,33.76 M,22.35 M,57.69 M
01/03/2019,4.36 K,34.65 M,23.01 M,60.21 M
01/04/2019,4.46 K,36.57 M,23.65 M,62.92 M
01/05/2019,4.67 K,38.86 M,24.60 M,65.97 M
01/06/2019,4.83 K,40.07 M,25.19 M,69.10 M
01/07/2019,5.00 K,40.91 M,25.87 M,71.87 M
01/08/2019,5.29 K,41.61 M,26.13 M,74.37 M
01/09/2019,5.36 K,42.29 M,26.43 M,76.15 M
01/10/2019,5.60 K,43.04 M,27.09 M,78.97 M
01/11/2019,5.76 K,43.87 M,27.53 M,81.05 M
01/12/2019,6.02 K,44.51 M,27.69 M,84.04 M
01/01/2020,6.36 K,45.45 M,28.13 M,86.28 M
01/02/2020,6.75 K,46.24 M,28.62 M,88.64 M
01/03/2020,7.12 K,47.12 M,29.15 M,92.52 M
01/04/2020,7.47 K,48.18 M,29.61 M,95.90 M
01/05/2020,7.75 K,49.59 M,29.29 M,99.38 M
01/06/2020,8.14 K,50.68 M,29.57 M,103.36 M
01/07/2020,8.64 K,52.03 M,30.19 M,107.78 M
01/08/2020,9.13 K,53.17 M,30.49 M,112.83 M
01/09/2020,9.85 K,54.25 M,30.97 M,116.40 M
01/10/2020,10.83 K,55.65 M,32.18 M,121.64 M
01/11/2020,11.72 K,60.36 M,32.14 M,126.82 M
01/12/2020,12.87 K,63.48 M,32.52 M,130.94 M
01/01/2021,14.04 K,66.22 M,33.42 M,135.65 M
01/02/2021,15.10 K,68.79 M,35.34 M,140.72 M
01/03/2021,16.48 K,70.65 M,36.59 M,145.80 M
01/04/2021,18.08 K,72.26 M,38.07 M,149.77 M
01/05/2021,19.55 K,73.51 M,37.10 M,155.81 M
01/06/2021,21.28 K,74.53 M,37.67 M,161.26 M
01/07/2021,23.10 K,75.11 M,37.42 M,164.84 M
01/08/2021,25.14 K,76.32 M,37.72 M,167.91 M
01/09/2021,26.72 K,77.12 M,37.68 M,170.96 M
01/10/2021,28.69 K,78.55 M,37.77 M,174.84 M
01/11/2021,30.66 K,79.57 M,38.95 M,179.01 M
01/12/2021,32.62 K,80.24 M,38.97 M,182.94 M
01/01/2022,34.30 K,81.21 M,39.57 M,186.32 M
01/02/2022,35.27 K,81.63 M,39.60 M,189.16 M
